LAS F1 Score: 56.16
MLAS Score: 39.67
BLEX Score: 41.14
Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     68.73 |     68.73 |     68.73 |     68.73
LAS        |     56.16 |     56.16 |     56.16 |     56.16
CLAS       |     42.49 |     39.87 |     41.14 |     39.87
MLAS       |     40.97 |     38.45 |     39.67 |     38.45
BLEX       |     42.49 |     39.87 |     41.14 |     39.87
